id,English,Russian,Ukrainian
Title text,Deadline Runner, На Грани,На Межі
Start Game text,Start Game,Начать Игру,Почати Гру
Tree text,Family Tree,Древо Предков,Дерево Предків
Shop text,Upgrade Shop,Магазин Улучшений,Магазин Покращень
Power Up category,Power Up,Способности,Здібності
Character category,Characters,Персонажи,Персонажі
Consumables category,Consumables,Расходуемые,Витратне
Special category,Special,Кристаллы,Кристали
Shield Title,Shield,Щит,Щит
Pause title,Paused,Пауза,Пауза
Level Up,Level UP!,Уровень Повишен!,Новий Рівень!
Menu button,Menu,Меню,Меню
Restart Button,Restart,Рестарт,Рестарт
Shield Description,Protecting you from all damage for 6 seconds.,Защищает вас от всех повреждений в течение 6 секунд.,Захищає вас від усіх пошкоджень протягом 6 секунд.
Shield Description_1,Protecting you from all damage for 7 seconds.,Защищает вас от всех повреждений в течение 7 секунд.,Захищає вас від усіх пошкоджень протягом 7 секунд.
Shield Description_2,Protecting you from all damage for 8 seconds.,Защищает вас от всех повреждений в течение 8 секунд.,Захищає вас від усіх пошкоджень протягом 8 секунд.
Shield Description_3,Protecting you from all damage for 9 seconds.,Защищает вас от всех повреждений в течение 9 секунд.,Захищає вас від усіх пошкоджень протягом 9 секунд.
Shield Description_4,Protecting you from all damage for 10 seconds.,Защищает вас от всех повреждений в течение 10 секунд.,Захищає вас від усіх пошкоджень протягом 10 секунд.
Shield Description_5,Protecting you from all damage for 11 seconds.,Защищает вас от всех повреждений в течение 11 секунд.,Захищає вас від усіх пошкоджень протягом 11 секунд.
Machine's world Title,Machine's world,Мир Машин,Світ Машин
Machine's world Description,Destroy every hostile object on your path for 5 seconds.,Уничтожить все враждебные объект на вашем пути за 5 секунд.,Знищує всі перешкоди на вашому шляху протягом 5 секунд.
Machine's world Description_1,Destroy every hostile object on your path for 6 seconds.,Уничтожить все враждебные объект на вашем пути за 6 секунд.,Знищує всі перешкоди на вашому шляху протягом 6 секунд.
Machine's world Description_2,Destroy every hostile object on your path for 7 seconds.,Уничтожить все враждебные объект на вашем пути за 7 секунд.,Знищує всі перешкоди на вашому шляху протягом 7 секунд.
Machine's world Description_3,Destroy every hostile object on your path for 8 seconds.,Уничтожить все враждебные объект на вашем пути за 8 секунд.,Знищує всі перешкоди на вашому шляху протягом 8 секунд.
Machine's world Description_4,Destroy every hostile object on your path for 9 seconds.,Уничтожить все враждебные объект на вашем пути за 9 секунд.,Знищує всі перешкоди на вашому шляху протягом 9 секунд.
Machine's world Description_5,Destroy every hostile object on your path for 10 seconds.,Уничтожить все враждебные объект на вашем пути за 10 секунд.,Знищує всі перешкоди на вашому шляху протягом 10 секунд.
Afterlife Title,AfterLife,Загробная жизнь,Потойбічне життя
Afterlife Description,Death won't stop you at least for 4 seconds.,Смерть не остановит вас еще 4 секунды.,"Смерть вас не зупинить, принаймні ще 4 секунди."
Afterlife Description_1,Death won't stop you at least for 5 seconds.,Смерть не остановит вас еще 5 секунд.,"Смерть вас не зупинить, принаймні ще 5 секунд."
Afterlife Description_2,Death won't stop you at least for 6 seconds.,Смерть не остановит вас еще 6 секунд.,"Смерть вас не зупинить, принаймні ще 6 секунд."
Afterlife Description_3,Death won't stop you at least for 7 seconds.,Смерть не остановит вас еще 7 секунд.,"Смерть вас не зупинить, принаймні ще 7 секунд."
Afterlife Description_4,Death won't stop you at least for 8 seconds.,Смерть не остановит вас еще 8 секунд.,"Смерть вас не зупинить, принаймні ще 8 секунд."
Afterlife Description_5,Death won't stop you at least for 10 seconds.,Смерть не остановит вас еще 10 секунд.,"Смерть вас не зупинить, принаймні ще 10 секунд."
Big Crystal Title,Big Crystal,Большой кристалл,Величезний кристал
Big Crystal Description,Big Green Crystal provides 20 crystal shards,Большой кристалл дает вам 20 хрустальных осколков,Величезний кристал дає вам 20 кришталевих шматочків
Big Crystal Description_1,Big Green Crystal provides 30 crystal shards,Большой кристалл дает вам 30 хрустальных осколков,Величезний кристал дає вам 30 кришталевих шматочків
Big Crystal Description_2,Big Green Crystal provides 40 crystal shards,Большой кристалл дает вам 40 хрустальных осколков,Величезний кристал дає вам 40 кришталевих шматочків
Big Crystal Description_3,Big Green Crystal provides 50 crystal shards,Большой кристалл дает вам 50 хрустальных осколков,Величезний кристал дає вам 50 кришталевих шматочків
Big Crystal Description_4,Big Green Crystal provides 60 crystal shards,Большой кристалл дает вам 60 хрустальных осколков,Величезний кристал дає вам 60 кришталевих шматочків
Big Crystal Description_5,Big Green Crystal provides 70 crystal shards,Большой кристалл дает вам 70 хрустальных осколков,Величезний кристал дає вам 70 кришталевих шматочків
First Character Name,Wanderer,Cкиталец,Блукач
Seceond Character Name,Living Armor,Живой Доспех,Живі Обладунки
Third Character Name,UR-900,UR-900,UR-900
Fourth Character Name,Serious Wizard,Серьезный Волшебник,Серйозний Чаклун
Fifth Character Name,Coming Soon,Недоступно,Недоступно
Sixth Character Name,Coming Soon,Недоступно,Недоступно
Seventh Character Name,Coming Soon,Недоступно,Недоступно
Eight Character Name,Coming Soon,Недоступно,Недоступно
Ninth Character Name,Coming Soon,Недоступно,Недоступно
Double Score Title,Double Score,Двойные Очки,Подвійні Очки
Double Score Description,In the next run you gain double score.,В следующей игре ваши очки удваиваются,В наступній грі ваші очки подвоюються
Double Crystals Title,Double Crystals,Двойные Кристаллы,Подвійні Кристали
Double Crystals Description,In the next run you gain double crystals.,В следующей игре ваши хрустальные кусочки удваиваются,В наступній грі ваші кришталеві шматочки подвоюються
Power Start Title,Power Start,Сильний старт,Потужний старт
Power Start Description,Providing you with a powerful dash on start.,Дает вам мощный рывок на старте.,Дає вам потужний ривок на старті.
Collector Pet Title,Collector Pet,Собиратель,Збирач
Collector Pet Description,He will try his best to get more crystal shards for you.,"Он cделает все возможное, чтобы собрать как можно больше кристаллов.",Він зробить все можливе щоб зібрати якомога більше кристалів.
Free Crystals Title,Free Crystals!,Халява!,Халява!
Free Crystals Description,Get Free Crystal Shards!,Получите бесплатные хрустальные кусочки!,Отримайте безкоштовні кришталеві шматочки!
Crystal Pack Title,Crystal Pack,Кошелек с Кристаллами,Гаманець Кристалів
Crystal Pack Description,Purchase 5000 Crystal Shards.,Купить 5000 Хрустальных Осколков,Купити 5000 Кришталевих шматочків.
Crystal Pouch Title,Crystal Pouch,Мешочек с Кристаллами,Торбинка Кристалів
Crystal Pouch Description,Purchase 10000 Crystal Shards.,Купить 10000 Хрустальных Осколков,Купити 10000 Кришталевих шматочків.
Crystal Bag Title,Crystal Bag,Сумка с Кристаллами,Мішок Кристалів
Crystal Bag Description,Purchase 25000 Crystal Shards.,Купить 25000 Хрустальных Осколков,Купити 25000 Кришталевих шматочків.
Crystal Chest Title ,Crystal Chest,Сундук Кристаллов,Скриня Самоцвітів
Crystal Chest Description,Purchase 50000 Crystal Shards.,Купить 50000 Хрустальных Осколков,Купити 50000 Кришталевих шматочків.
Buy Button,Buy,Купить,Купити
Upgrade Button,Upgrade!,Улучшить!,Покращити!
Activate Button,Activate,Активировать,Активувати
Activated Button,Activated,Активировано,Активовано
Maxed button,Maxed!,Max!,Max!
Coming Soon Button,Coming soon!,Скоро будет!,Скоро буде!
Locked title,Locked,Закрыт,Закрито
Loading,Loading,Загрузка,Завантаження
Daily Rewards,Timewalking Reward,Ежедневное вознаграждения,Щоденна винагорода
Next Reward,Next Reward In:,Следующая награда:,Наступна винагорода:
Great Button,Great!,Клас!,Чудово!
Reward MSG pt1,Earned,Получено ,Отримано 
Reward MSG pt2,Crystal Shards,Хрустальных Осколков,Кришталевих шматочків
Buy Shards button,Buy Shards,Купить Кристалов,Купити Кристалів
Play Button,Play,Играть,Грати
Not Enough Shards,You need more Crystal Shards to buy this!,Вам нужно больше Хрустальных Осколков чтобы купить это!,Вам потрібно більше Кришталевих шматочків щоб купити це!
Ancestor_1,Willow,Виллоу,Віллоу
Ancestor_2,Delmor,Делмор,Делмор
Ancestor_3,Arden,Арден,Арден
Ancestor_4,Crimson,Кримсон,Крімсон
Ancestor_5,Maxwell,Максвелл,Максвелл
Ancestor_6,Amoret,Аморет,Аморет
Ancestor_7,Mordecai,Мордекай,Мордекай
Ancestor_8,Morgana,Моргана,Моргана
Ancestor_9,Elenor,Еленор,Еленор
Ancestor_10,Archibald,Арчибальд,Арчібальд
Ancestor_1 description_name,Bonus: Safe Start,Бонус: Безопасный Старт,Бонус: Безпечний Старт
Ancestor_2 description_name,Bonus: Highlander,Бонус: Горец,Бонус: Горець
Ancestor_3 description_name,Bonus: Jeweler,Бонус: Ювелир,Бонус: Ювелір
Ancestor_4 description_name,Bonus: Endless Pockets,Бонус: Бесконечные Карманы,Бонус: Нескінченні Кишені
Ancestor_5 description_name,Bonus: Knowledge Master,Бонус: Мастер Знания,Бонус: Майстер Знань
Ancestor_6 description_name,Bonus: Greed is Good,Бонус: Жадность это хорошо,Бонус: Жадібність це добре
Ancestor_7 description_name,Bonus: Archivist,Бонус: Архивариус,Бонус: Архіваріус
Ancestor_8 description_name,Bonus: Dead Man's Party,Бонус: Вечеринка мертвеца,Бонус: Вечірка мерця
Ancestor_9 description_name,Bonus: Last Chance,Бонус: Последний шанс,Бонус: Останній шанс
Ancestor_10 description_name,Bonus: Fate Whispers,Бонус: Шепот судьбы ,Бонус: Шепіт Долі
Ancestor_1 description,Nothing can't hurt you for the first 15 seconds.,Ничто не может повредить вам в течение первых 15 секунд.,Ніщо не може нашкодити вам протягом перших 15 секунд.
Ancestor_2 description,You gain 20 extra crystals for every 200 feets passed.,Вы получаете 20 дополнительных кристаллов за каждые 200 футов.,Ви отримуєте 20 додаткових кристалів за кожні 200 пройдених метрів.
Ancestor_3 description,You gain double amount of crystal shards from Big crystals.,Ви отримуєте подвійну кількість кришталевих шматочків від великих кристалів.,Ви отримаєте подвійну винагороду від великих кристалів.
Ancestor_4 description,Power-Up's Spawns more often. ,Бонусы встречаются намного чаще.,Бонуси зустрічаються набагато частіше.
Ancestor_5 description,Double Score is always active.,Двойные Очки всегда активированы.,Подвійні Очки завжди активовані.
Ancestor_6 description,Double crystals is always active.,Двойные кристаллы всегда активна.,Подвійні кристали завжди активовані.
Ancestor_7 description,"Improves Shield, Afterlife, Machine's world and Big crystal effects.",Усиливает все ваши способности.,Підсилює всі ваші здібності.
Ancestor_8 description,You move on hyper speed when Afterlife trigger.,В Загробной жизни вы двигаетесь на гипер скорости.,У Потойбічному житті ви рухаєтеся на гіпершвидкості.
Ancestor_9 description,Every run you have free resurrection.,Каждую игру у вас есть бесплатное воскрешение.,Кожну гру у вас є безкоштовне воскресіння.
Ancestor_10 description,Unlock special Character. All other bonuses is active.,Откривает специального персонажа. Все остальные бонусы также активны.,Відкриває спеціального персонажа. Всі інші бонуси також активні.
localization1,English,Английский,Англійська
localization2,Russian,Русский,Російська
localization3,Ukrainian,Украинский,Українська